"","Plot","SampleYear","BurnScar","PRam","PlotCwdMass"
"125","BS148",2019,"sober",1,1.81914533347208
"126","BS148",2023,"sober",1,40.742427539893
"127","BS148",2023,"sober",1,40.742427539893
"128","BS149",2023,"sober",1,75.9764799784152
"129","BS149",2023,"sober",1,75.9764799784152
"130","BS150",2011,"sober",1,456.135474526785
"131","BS150",2014,"sober",1,490.009334806697
"132","BS150",2019,"sober",1,4.77101993323671
"133","BS150",2019,"sober",1,4.77101993323671
"134","BS150",2022,"sober",1,81.0314364843518
"135","BS150",2022,"sober",1,81.0314364843518
"136","BS156",2009,"sober_chalk",1,37.1425244778595
"137","BS156",2018,"sober_chalk",1,150.995562605704
"138","BS158",2009,"sober_chalk",0,61.6271863945137
"139","BS158",2011,"sober_chalk",0,64.1091689804054
"140","BS158",2014,"sober_chalk",0,63.5939981795965
"141","BS158",2019,"sober_chalk",1,23.44163531375
"142","BS158",2022,"sober_chalk",1,26.7166264408257
"143","BS159",2009,"sober",1,40.8188031523675
"144","BS159",2018,"sober",1,5.01338383460233
"145","BS159",2023,"sober",1,85.2342469867595
"146","BS160",2009,"sober_chalk",0,1.334051326055
"147","BS160",2010,"sober_chalk",0,1.334051326055
"148","BS160",2013,"sober_chalk",0,13.3643773392288
"149","BS160",2018,"sober_chalk",0,123.089571311346
"150","BS160",2022,"sober_chalk",0,123.089571311346
"151","BS165",2009,"sober_chalk",0,28.6014065551974
"152","BS165",2010,"sober_chalk",0,30.372532901243
"153","BS165",2013,"sober_chalk",0,25.107732196427
"154","BS165",2018,"sober_chalk",0,20.9602892195724
"155","BS165",2022,"sober_chalk",0,83.0544842095666
"156","BS166",2023,"sober_chalk",0,5.2976863309336
"157","BS168",2009,"sober_chalk",1,26.6896395900137
"158","BS168",2018,"sober_chalk",1,102.800998389219
"159","BS168",2023,"sober_chalk",1,92.7841214968779
"160","BS175",2009,"sober_chalk",1,4.7147872661406
"161","BS175",2011,"sober_chalk",1,10.9049882837307
"162","BS175",2014,"sober_chalk",1,29.6643573278288
"163","BS175",2019,"sober_chalk",1,4.05318235575038
"164","BS175",2019,"sober_chalk",1,4.05318235575038
"165","BS187",2010,"chalk",1,4.04446358091469
"166","BS187",2013,"chalk",1,4.04446358091469
"167","BS187",2018,"chalk",1,2.56952724188021
"168","BS187",2022,"chalk",1,5.94564188812926
"169","BS188",2009,"control",1,0.578927194733275
"170","BS188",2011,"control",1,48.6111647461429
"171","BS188",2014,"control",1,55.3839905573396
"172","BS190",2009,"chalk",1,182.600257225388
"173","BS190",2018,"chalk",1,264.334271573647
"174","BS193",2009,"sober_chalk",1,23.4819290907756
"175","BS193",2023,"sober_chalk",1,21.9664942016084
"176","BS194",2009,"sober_chalk",1,21.3440684695849
"177","BS194",2011,"sober_chalk",1,23.6645573975058
"178","BS194",2014,"sober_chalk",1,32.3032307281496
"179","BS194",2019,"sober_chalk",1,3.8892782362347
"180","BS194",2022,"sober_chalk",1,4.05485131223561
"181","BS195",2009,"sober_chalk",1,4.44046637764144
"182","BS195",2011,"sober_chalk",1,3.75306431251076
"183","BS195",2014,"sober_chalk",1,24.4681136823769
"184","BS195",2019,"sober_chalk",1,0.3334845502422
"185","BS196",2023,"sober_chalk",1,31.156377277409
"186","BS202",2009,"sober_chalk",0,1.54616941765933
"187","BS202",2011,"sober_chalk",1,1.54616941765933
"188","BS202",2014,"sober_chalk",1,2.3181601940669
"189","BS202",2019,"sober_chalk",1,5.15654693929829
"190","BS202",2023,"sober_chalk",1,5.39201696314424
"191","BS203",2019,"sober",1,2.92350330907677
"192","BS203",2023,"sober",1,22.957019051572
"193","BS204",2019,"sober",1,3.13642355283878
"194","BS204",2023,"sober",1,7.46513263076543
"195","BS217",2009,"sober_chalk",1,1.50932597284051
"196","BS217",2011,"sober_chalk",1,1.73770332585815
"197","BS217",2014,"sober_chalk",1,1.73770332585815
"198","BS219",2009,"chalk",0,28.3511989475423
"199","BS220",2009,"sober_chalk",1,10.2899637333344
"200","BS221",2009,"sober_chalk",1,16.2353731133277
"201","BS221",2010,"sober_chalk",1,16.6153897388914
"202","BS221",2013,"sober_chalk",1,42.1623803642042
"203","BS221",2013,"sober_chalk",1,42.1623803642042
"204","BS221",2018,"sober_chalk",1,0.582087318428453
"205","BS221",2023,"sober_chalk",1,0.460728249423417
"206","BS222",2009,"sober_chalk",1,162.05746633148
"207","BS224",2009,"sober_chalk",1,1.43441733105435
"208","BS224",2009,"sober_chalk",1,1.43441733105435
"209","BS224",2010,"sober_chalk",1,1.34620749061167
"210","BS224",2013,"sober_chalk",1,2.45371030870568
"211","BS224",2018,"sober_chalk",1,1.27069484069235
"212","BS224",2022,"sober_chalk",1,3.31315437671229
"213","BS226",2009,"sober_chalk",1,28.3209469853047
"214","BS226",2018,"sober_chalk",1,76.3299273219247
"215","BS226",2023,"sober_chalk",1,81.2397771810962
"216","BS232",2009,"sober_chalk",1,23.5791388878515
"217","BS232",2011,"sober_chalk",1,21.6698607513549
"218","BS232",2011,"sober_chalk",1,21.6698607513549
"219","BS232",2014,"sober_chalk",1,22.8916340812519
"220","BS232",2014,"sober_chalk",1,22.8916340812519
"221","BS233",2009,"chalk",1,3.91204177262049
"222","BS233",2011,"chalk",1,3.36853627674863
"223","BS233",2014,"chalk",1,25.4281166840575
"224","BS233",2019,"chalk",1,33.1348031900514
"225","BS233",2022,"chalk",1,37.7653471558257
"226","BS234",2009,"sober_chalk",1,10.1642873867477
"227","BS239",2018,"control",1,1.14549704003952
"228","BS241",2023,"sober_chalk",1,28.9650803046562
"229","BS242",2013,"sober_chalk",1,5.80233492323876
"230","BS242",2018,"sober_chalk",1,37.6863508157729
"231","BS242",2022,"sober_chalk",1,79.0324539601867
"232","BS244",2009,"sober_chalk",0,91.8269565529099
"233","BS244",2010,"sober_chalk",0,91.8269565529099
"234","BS244",2013,"sober_chalk",0,102.448379134808
"235","BS244",2018,"sober_chalk",0,154.655639582904
"236","BS244",2023,"sober_chalk",0,155.772940644786
"237","BS245",2009,"sober_chalk",1,81.6710328562563
"238","BS245",2023,"sober_chalk",1,5.78169772006151
"239","BS246",2023,"sober_chalk",0,0.557160134449646
"240","BS247",2009,"sober_chalk",0,270.120290314234
"241","BS247",2010,"sober_chalk",0,269.40400424063
"242","BS247",2010,"sober_chalk",0,269.40400424063
"243","BS247",2013,"sober_chalk",0,259.433996445125
"244","BS247",2013,"sober_chalk",0,259.433996445125
"245","BS247",2018,"sober_chalk",0,6.02796732804381
"246","BS247",2022,"sober_chalk",0,2.04655768899804
"247","BS247",2022,"sober_chalk",0,2.04655768899804
"248","BS249",2009,"sober_chalk",1,121.833834283248
"249","BS251",2011,"sober_chalk",0,1.0394095037659
"250","BS251",2014,"sober_chalk",0,2.67154667229287
"251","BS251",2019,"sober_chalk",0,8.73629439211924
"252","BS251",2022,"sober_chalk",0,8.39094160343418
"253","BS259",2009,"chalk",1,1.1550170744404
"254","BS271",2009,"chalk",1,6.11348941725943
"255","BS272",2011,"chalk",1,17.6840888103732
"256","BS272",2014,"chalk",1,16.0195378038906
"257","BS272",2019,"chalk",1,28.7728333642781
"258","BS272",2022,"chalk",1,30.834721195406
"259","BS273",2011,"chalk",1,0.161603676645778
"260","BS273",2014,"chalk",1,6.39287115567404
"261","BS273",2014,"chalk",1,6.39287115567404
"262","BS273",2019,"chalk",1,8.18231381367074
"263","BS273",2022,"chalk",1,8.22273466374032
"264","BS274",2009,"sober_chalk",0,0.238965261183069
"265","BS274",2009,"sober_chalk",0,0.238965261183069
"266","BS274",2011,"sober_chalk",0,0.238965261183069
"267","BS274",2011,"sober_chalk",0,0.238965261183069
"268","BS274",2014,"sober_chalk",0,1.24307911847892
"269","BS274",2014,"sober_chalk",0,1.24307911847892
"270","BS276",2009,"chalk",1,6.48153401336663
"271","BS276",2023,"chalk",1,5.49522753013924
"272","BS276",2023,"chalk",1,5.49522753013924
