system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",55.85375072923957,0.47938870618941865,0.0,-121.30625017927257_35.7596856723643,19,2015-01-01,1.8995105,5.072216,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",54.72755109661762,0.5198351397324894,0.0,-121.30175860291075_35.75968567232881,125,2015-01-01,1.8995105,15.964599,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",107.13241432113828,0.4121698959077706,0.0,-121.3107417556869_35.76417724872933,181,2015-01-01,1.8995105,37.341053,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",154.5996634045081,0.4656718638884042,0.0,-121.3062501792855_35.76417724870201,270,2015-01-01,1.8995105,14.132218,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",34.39135547400267,0.5689516447135784,0.0,-121.30175860290586_35.76417724873219,275,2015-01-01,1.8995105,31.593945,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",80.87724218968589,0.3565881652128991,0.0,-121.29726702636071_35.76417724872694,315,2015-01-01,1.9284781,28.491955,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",53.40900560821019,0.30596429748964016,0.0,-121.31074175570203_35.76866882519699,356,2015-01-01,1.8995105,20.700367,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",51.58893878818696,0.3207238549341007,0.0,-121.30625017931094_35.76866882519759,392,2015-01-01,1.8995105,7.058828,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",66.82127902759963,0.2699535562438613,0.0,-121.30175860287288_35.76866882517237,471,2015-01-01,1.8995105,14.3175,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",54.40943251875459,0.2718342763481055,0.0,-121.29726702638074_35.76866882518616,475,2015-01-01,1.9284781,43.22908,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27004,7963_0",36.796223318114095,0.2948186970169771,0.0,-121.28828387359552_35.76866882519612,359,2015-01-01,1.9284781,14.759226,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
"-27010,7964_0",114.65858414012479,0.5929488140103691,0.0,-121.31523333215381_35.773160401542,226,2015-01-01,1.8995105,23.358011,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.773115486085445]}"
"-27009,7964_0",47.5794496843997,0.23835197336471392,0.0,-121.31074175573129_35.77316040152193,432,2015-01-01,1.8995105,29.630781,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.773115486085445]}"
"-27008,7964_0",68.29206130274859,0.3082951533411815,0.0,-121.30625017929316_35.77316040151378,462,2015-01-01,1.8995105,28.722855,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.773115486085445]}"
"-27007,7964_0",168.7556195868508,0.3261675998722788,0.0,-121.30175860286754_35.77316040155423,569,2015-01-01,1.8995105,27.799515,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.773115486085445]}"
"-27006,7964_0",47.554859236469376,0.25120971670417785,0.0,-121.29726702638781_35.773160401539336,671,2015-01-01,1.9284781,16.264437,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.773115486085445]}"
"-27005,7964_0",47.17851938464182,0.37554979324392285,0.0,-121.29277545004925_35.77316040152535,559,2015-01-01,1.9284781,21.175535,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.773115486085445]}"
"-27004,7964_0",18.830560680583787,0.8076096444487232,0.0,-121.28828387364416_35.7731604015404,363,2015-01-01,1.9284781,14.601171,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.773115486085445]}"
"-27003,7964_0",47.46131175001896,0.4547477866629495,0.0,-121.28379229722286_35.77316040154533,275,2015-01-01,1.9284781,35.068447,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.773115486085445]}"
"-27002,7964_0",50.367260520859425,0.41955074950874943,0.0,-121.27930072064623_35.773160401540125,155,2015-01-01,1.9284781,40.42916,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2791659734737,35.773115486085445]}"
"-27011,7965_0",113.87308376556946,0.37332059269589823,0.0,-121.31972490850984_35.77765197801826,333,2015-01-01,1.8995105,27.368505,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.77769689403445]}"
"-27010,7965_0",122.92394540447663,0.3061917262487189,0.0,-121.31523333213066_35.77765197803162,412,2015-01-01,1.8995105,15.607853,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.77769689403445]}"
"-27009,7965_0",59.55246448329974,0.5861921366916931,0.0,-121.31074175577464_35.777651978038385,430,2015-01-01,1.8995105,27.405512,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.77769689403445]}"
"-27008,7965_0",39.63084906092923,0.261141538398035,0.0,-121.30625017926188_35.777651978038584,581,2015-01-01,1.8995105,11.476741,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.77769689403445]}"
"-27007,7965_0",57.54284703380873,0.26659258073703324,0.0,-121.3017586028768_35.777651978012635,666,2015-01-01,1.8995105,23.528193,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.77769689403445]}"
"-27006,7965_0",43.73554051376751,0.2884961116034119,0.0,-121.29726702638187_35.777651978025325,745,2015-01-01,1.9284781,15.079521,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.77769689403445]}"
"-27005,7965_0",25.7760578436688,0.3337285523130899,0.0,-121.2927754500839_35.777651978020415,668,2015-01-01,1.9284781,25.803967,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.77769689403445]}"
"-27004,7965_0",20.802348208857186,0.2903485304358849,0.0,-121.28828387359493_35.777651978015,579,2015-01-01,1.9284781,25.902107,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.77769689403445]}"
"-27003,7965_0",23.144062789888626,0.3049389486223992,0.0,-121.28379229723089_35.77765197803722,487,2015-01-01,1.9284781,25.456694,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.77769689403445]}"
"-27002,7965_0",45.83860582342913,0.6708760464191929,0.0,-121.27930072065585_35.777651978030796,250,2015-01-01,1.9284781,18.470587,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2791659734737,35.77769689403445]}"
"-27001,7965_0",78.78400438482396,0.8129534421596526,0.0,-121.27480914445734_35.77765197804097,179,2015-01-01,1.9284781,38.32354,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27485406010992,35.77769689403445]}"
"-27000,7965_0",54.180529434101885,0.7982917584054973,0.0,-121.27031756787348_35.7776519780396,262,2015-01-01,1.9284781,13.582672,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27027265216091,35.77769689403445]}"
"-27011,7966_0",79.26220924613934,0.7251107955617176,0.0,-121.3197249085062_35.782143554486716,451,2015-01-01,1.8995105,24.699547,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.78200880739823]}"
"-27010,7966_0",36.398282840187186,0.2729239289219288,0.0,-121.3152333321232_35.782143554480626,512,2015-01-01,1.8995105,21.668034,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.78200880739823]}"
"-27009,7966_0",30.89309072064114,0.5003608379128343,0.0,-121.31074175576344_35.78214355448615,475,2015-01-01,1.8995105,21.177294,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.78200880739823]}"
"-27008,7966_0",42.25218865056734,0.6153366634309781,0.0,-121.30625017928956_35.78214355447511,585,2015-01-01,1.8995105,29.434948,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.78200880739823]}"
"-27007,7966_0",18.73336674666012,0.30800792065165317,0.0,-121.30175860288769_35.78214355447567,698,2015-01-01,1.8995105,28.837862,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.78200880739823]}"
"-27006,7966_0",82.67400180541921,0.4603258163025647,0.0,-121.29726702636297_35.78214355446824,719,2015-01-01,1.9284781,14.317878,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.78200880739823]}"
"-27005,7966_0",36.32393753334791,0.4469984871083859,0.0,-121.29277545012069_35.78214355446138,681,2015-01-01,1.9284781,24.24864,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.78200880739823]}"
"-27004,7966_0",39.78689597205911,0.6355327588438452,0.0,-121.28828387353317_35.78214355448322,540,2015-01-01,1.9284781,22.541395,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.78200880739823]}"
"-27003,7966_0",22.22368258128873,0.4413717087221379,0.0,-121.28379229724163_35.782143554494596,385,2015-01-01,1.9284781,28.626307,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.78200880739823]}"
"-27002,7966_0",25.770464138310036,0.811635815774066,0.0,-121.27930072069626_35.78214355446736,279,2015-01-01,1.9284781,14.6104,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2791659734737,35.78200880739823]}"
"-27001,7966_0",20.345456330033645,0.7132429529103508,0.0,-121.27480914441601_35.782143554457804,150,2015-01-01,1.9284781,25.673367,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27485406010992,35.78200880739823]}"
"-27000,7966_0",54.82686466997826,0.6423776333786413,0.0,-121.27031756789162_35.78214355447446,225,2015-01-01,1.9284781,16.10529,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27027265216091,35.78200880739823]}"
"-26999,7966_0",56.156123324231515,0.7686329048689213,0.0,-121.26582599153062_35.78214355447815,288,2015-01-01,1.9284781,26.284836,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26596073879713,35.78200880739823]}"
"-27012,7967_0",69.87511561907506,0.4727877922212507,0.0,-121.32421648497392_35.78663513079174,286,2015-01-01,1.8995105,27.273306,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32417156920808,35.78659021534723]}"
"-27011,7967_0",52.54794419120856,0.6738831029349547,0.0,-121.31972490853292_35.7866351307988,368,2015-01-01,1.8995105,24.479597,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.78659021534723]}"
"-27010,7967_0",81.75839277919071,0.5663942085637984,0.0,-121.31523333213153_35.786635130781846,473,2015-01-01,1.8995105,11.952482,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.78659021534723]}"
"-27009,7967_0",110.3939616789247,0.3595837423032475,0.0,-121.31074175575331_35.786635130777526,677,2015-01-01,1.8995105,27.323015,2014-01-01,294.72189514996256,285.45636467084495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.78659021534723]}"
