system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",57.73075698017435,0.48947669368984786,0.0,-121.30625017927257_35.7596856723643,19,2008-01-01,0.883542,5.072216,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",49.83338680118672,0.5250990816158289,0.0,-121.30175860291075_35.75968567232881,125,2008-01-01,0.883542,15.964599,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",79.49358081172113,0.4195337210932646,0.0,-121.3107417556869_35.76417724872933,181,2008-01-01,0.883542,37.341053,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",132.7979326761453,0.48136387239040945,0.0,-121.3062501792855_35.76417724870201,270,2008-01-01,0.883542,14.132218,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",27.82075518760797,0.5814592000801329,0.0,-121.30175860290586_35.76417724873219,275,2008-01-01,0.883542,31.593945,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",68.21425187150344,0.3630193528458541,0.0,-121.29726702644618_35.76417724872693,315,2008-01-01,0.85909164,28.491955,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27005,7962_0",27.983495381761966,0.26846573566009346,0.0,-121.29277545002167_35.764177248694786,382,2008-01-01,0.85909164,27.811152,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29264070273548,35.76422216477266]}"
"-27009,7963_0",51.08832276618947,0.2967792655794087,0.0,-121.31074175570203_35.76866882519699,356,2008-01-01,0.883542,20.700367,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",30.917640495074654,0.32807171699867177,0.0,-121.30625017931094_35.76866882519759,392,2008-01-01,0.883542,7.058828,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",46.78637506892907,0.2880683379193195,0.0,-121.30175860287288_35.76866882517237,471,2008-01-01,0.883542,14.3175,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",49.71696958165855,0.2780387048075198,0.0,-121.2972670264662_35.768668825186154,475,2008-01-01,0.85909164,43.22908,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27005,7963_0",27.6214457965208,0.6286616130755754,0.0,-121.29277545000004_35.76866882521934,421,2008-01-01,0.85909164,19.19666,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29264070273548,35.76853407813643]}"
"-27004,7963_0",26.092626553852252,0.2902145390598241,0.0,-121.28828387359552_35.76866882519612,359,2008-01-01,0.85909164,14.759226,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
"-27010,7964_0",102.17358158400438,0.5914740313270251,0.0,-121.31523333215381_35.773160401542,226,2008-01-01,0.883542,23.358011,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.773115486085445]}"
"-27009,7964_0",30.070431718791536,0.2603799068989837,0.0,-121.31074175573129_35.77316040152193,432,2008-01-01,0.883542,29.630781,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.773115486085445]}"
"-27008,7964_0",55.96618742854833,0.3028797087531561,0.0,-121.30625017929316_35.77316040151378,462,2008-01-01,0.883542,28.722855,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.773115486085445]}"
"-27007,7964_0",115.78767209382376,0.3377105030406991,0.0,-121.30175860286754_35.77316040155423,569,2008-01-01,0.883542,27.799515,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.773115486085445]}"
"-27006,7964_0",30.38592863172929,0.27309209293377734,0.0,-121.29726702647325_35.773160401539336,671,2008-01-01,0.85909164,16.264437,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.773115486085445]}"
"-27005,7964_0",42.29045872230751,0.3348224873527901,0.0,-121.2927754499638_35.77316040152536,566,2008-01-01,0.85909164,8.618692,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29264070273548,35.773115486085445]}"
"-27004,7964_0",15.889144620878277,0.8011977446903772,0.0,-121.28828387364416_35.7731604015404,363,2008-01-01,0.85909164,14.601171,2007-01-01,293.50518786286653,284.0573240933353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.773115486085445]}"
