system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
0_00000000000000000000_0,62.92345542974011,381.0,0.7978630605603261,BS002,0.0,2007-01-01,1.6641673,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3875027967385,35.85611981833809]}"
0_00000000000000000001_0,61.93974928659956,405.0,0.773690778689177,BS003,0.0,2007-01-01,1.6641673,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.39208420468752,35.85072992663337]}"
0_00000000000000000002_0,63.55216686941488,790.0,0.7070139391526348,BS004,0.0,2007-01-01,1.6641673,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36675171367534,35.85854526960521]}"
0_00000000000000000003_0,60.523537659688394,851.0,0.7632595344477128,BS005,0.0,2007-01-01,1.6641673,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36028384362969,35.85881476419044]}"
0_00000000000000000004_0,45.046973875609304,820.0,0.7900175889411288,BS006,0.0,2007-01-01,1.6641673,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.35381597358402,35.86043173170186]}"
0_00000000000000000005_0,18.51282967068274,883.0,0.7334298535281095,BS007,0.0,2007-01-01,1.6177839,2006-01-01,293.3737709776996,283.44372688188946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33926326598129,35.857736785849504]}"
0_00000000000000000006_0,14.532307548613787,509.0,0.6070603726434259,BS011,0.0,2007-01-01,1.6269711,2006-01-01,292.64627660463935,284.8102299520414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37133312162436,35.8291703598145]}"
0_00000000000000000007_0,30.564654737913177,359.0,0.7919534877231394,BS012,0.0,2007-01-01,1.6269711,2006-01-01,292.64627660463935,284.8102299520414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37160261620959,35.82324147893931]}"
0_00000000000000000008_0,80.57645022628786,351.0,0.7394267584101036,BS015,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34303619017459,35.8253974356212]}"
0_00000000000000000009_0,62.52178336503679,453.0,0.8428831281401798,BS016,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33764629846988,35.82566693020643]}"
0_0000000000000000000a_0,49.55544967810672,518.0,0.8242938392356871,BS017,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33225640676515,35.82512794103596]}"
0_0000000000000000000b_0,29.74976696940725,611.0,0.8716516561791519,BS018,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32848348257185,35.82351097352455]}"
0_0000000000000000000c_0,69.17344526618085,466.0,0.7931254696236701,BS019,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34249720100412,35.82970934898497]}"
0_0000000000000000000d_0,39.80784357248447,400.0,0.7883973491295241,BS020,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3408802334927,35.83375176776351]}"
0_0000000000000000000e_0,30.372903247021892,639.0,0.8397258985603583,BS022,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3379157930551,35.84426205658771]}"
0_0000000000000000000f_0,28.765444645082415,233.0,0.7929300060171819,BS026,0.0,2007-01-01,1.6914822,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.42550153325676,35.90166440324295]}"
0_00000000000000000010_0,62.420448818488296,186.0,0.7693697657092682,BS027,0.0,2007-01-01,1.6509237,2006-01-01,292.4296825252167,284.4708978940363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43089142496147,35.89789147904964]}"
0_00000000000000000011_0,18.922702383108547,317.0,0.7737070147446728,BS032,0.0,2007-01-01,1.6517483,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3379157930551,35.797908987927144]}"
0_00000000000000000012_0,68.19896512095745,648.0,0.6674788523511371,BS034,0.0,2007-01-01,1.6694949,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32686651506043,35.800064944609026]}"
0_00000000000000000013_0,19.49288415667193,390.0,0.7430160788882225,BS035,0.0,2007-01-01,1.6517483,2006-01-01,292.928344517538,284.3553014885889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31985965584431,35.789824150370066]}"
0_00000000000000000015_0,85.01118715341217,726.0,0.5385086565709479,BS044,0.0,2007-01-01,1.8769169,2006-01-01,291.6203050169226,283.72454629140356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.51712969223695,36.031560793326626]}"
