system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",48.66909008205228,0.5457480665729799,0.0,-121.30625017927257_35.7596856723643,19,2012-01-01,1.8157187,5.072216,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",37.42753749967937,0.599836187802927,0.0,-121.30175860291075_35.75968567232881,125,2012-01-01,1.8157187,15.964599,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",54.07519720059556,0.5116020500473626,0.0,-121.3107417556869_35.76417724872933,181,2012-01-01,1.8157187,37.341053,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",101.52443396957965,0.5544150838526769,0.0,-121.3062501792855_35.76417724870201,270,2012-01-01,1.8157187,14.132218,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",20.51715957859975,0.6606089204088907,0.0,-121.30175860290586_35.76417724873219,275,2012-01-01,1.8157187,31.593945,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",42.71542378242128,0.456716463359745,0.0,-121.29726702636071_35.76417724872694,315,2012-01-01,1.8619864,28.491955,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",44.53678996662851,0.35530391218927543,0.0,-121.31074175570203_35.76866882519699,356,2012-01-01,1.8157187,20.700367,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",24.779039356824843,0.38413279532558176,0.0,-121.30625017931094_35.76866882519759,392,2012-01-01,1.8157187,7.058828,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",42.939112568500185,0.3358335573410489,0.0,-121.30175860287288_35.76866882517237,471,2012-01-01,1.8157187,14.3175,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",39.670746932414104,0.32759120177882917,0.0,-121.29726702638074_35.76866882518616,475,2012-01-01,1.8619864,43.22908,2011-01-01,292.4378905413902,283.74027421507117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
