system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",53.79728980663021,0.5135779672719516,0.0,-121.30625017927257_35.7596856723643,19,2016-01-01,0.9032785,5.072216,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",56.97171168204364,0.5105752366714738,0.0,-121.30175860291075_35.75968567232881,125,2016-01-01,0.9032785,15.964599,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",90.89498779077338,0.4213787557991564,0.0,-121.3107417556869_35.76417724872933,181,2016-01-01,0.9032785,37.341053,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",134.42812518067242,0.4786485953339781,0.0,-121.3062501792855_35.76417724870201,270,2016-01-01,0.9032785,14.132218,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",33.68123595097143,0.56369300911467,0.0,-121.30175860290586_35.76417724873219,275,2016-01-01,0.9032785,31.593945,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",68.39221912478351,0.3776035293603524,0.0,-121.29726702636071_35.76417724872694,315,2016-01-01,0.90410733,28.491955,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",43.06091614190752,0.3282539226740094,0.0,-121.31074175570203_35.76866882519699,356,2016-01-01,0.9032785,20.700367,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",48.70131050460827,0.3710496284124274,0.0,-121.30625017931094_35.76866882519759,392,2016-01-01,0.9032785,7.058828,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",48.32244367926352,0.305491100536082,0.0,-121.30175860287288_35.76866882517237,471,2016-01-01,0.9032785,14.3175,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",42.802954930509934,0.29672671607020945,0.0,-121.29726702638074_35.76866882518616,475,2016-01-01,0.90410733,43.22908,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27004,7963_0",32.91856656720454,0.33137369419357215,0.0,-121.28828387359552_35.76866882519612,359,2016-01-01,0.90410733,14.759226,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
"-27010,7964_0",112.39860608552392,0.609322064599265,0.0,-121.31523333215381_35.773160401542,226,2016-01-01,0.9032785,23.358011,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.773115486085445]}"
"-27009,7964_0",38.87847809846313,0.2562742802344845,0.0,-121.31074175573129_35.77316040152193,432,2016-01-01,0.9032785,29.630781,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.773115486085445]}"
"-27008,7964_0",58.16367965006702,0.31611242379580035,0.0,-121.30625017929316_35.77316040151378,462,2016-01-01,0.9032785,28.722855,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.773115486085445]}"
"-27007,7964_0",125.31561116440223,0.3534180084482344,0.0,-121.30175860286754_35.77316040155423,569,2016-01-01,0.9032785,27.799515,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.773115486085445]}"
"-27006,7964_0",43.45370936775212,0.27267316730475993,0.0,-121.29726702638781_35.773160401539336,671,2016-01-01,0.90410733,16.264437,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.773115486085445]}"
"-27004,7964_0",20.367945380396648,0.7961467362217501,0.0,-121.28828387364416_35.7731604015404,363,2016-01-01,0.90410733,14.601171,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.773115486085445]}"
"-27003,7964_0",44.60037224865479,0.47216013610372004,0.0,-121.28379229722286_35.77316040154533,275,2016-01-01,0.90410733,35.068447,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.773115486085445]}"
"-27002,7964_0",48.969920878954234,0.36938641968512353,0.0,-121.27930072064623_35.773160401540125,157,2016-01-01,0.90410733,44.945137,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.773115486085445]}"
"-27011,7965_0",90.35374685415168,0.38988224578362374,0.0,-121.31972490850984_35.77765197801826,333,2016-01-01,0.9032785,27.368505,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.77769689403445]}"
"-27010,7965_0",87.50253610965561,0.3257543661212304,0.0,-121.31523333213066_35.77765197803162,412,2016-01-01,0.9032785,15.607853,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.77769689403445]}"
"-27009,7965_0",58.16522796974899,0.6053573984356201,0.0,-121.31074175577464_35.777651978038385,430,2016-01-01,0.9032785,27.405512,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.77769689403445]}"
"-27008,7965_0",32.924800134990974,0.29920061996259834,0.0,-121.30625017926188_35.777651978038584,581,2016-01-01,0.9032785,11.476741,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.77769689403445]}"
"-27007,7965_0",47.8866936584169,0.2951380856565848,0.0,-121.3017586028768_35.777651978012635,666,2016-01-01,0.9032785,23.528193,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.77769689403445]}"
"-27006,7965_0",42.391993344226265,0.3097981967057038,0.0,-121.29726702638187_35.777651978025325,745,2016-01-01,0.90410733,15.079521,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.77769689403445]}"
"-27004,7965_0",24.2915921410073,0.29540864594256366,0.0,-121.28828387359493_35.777651978015,579,2016-01-01,0.90410733,25.902107,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.77769689403445]}"
"-27003,7965_0",28.285098714552806,0.3497589359828995,0.0,-121.28379229723089_35.77765197803722,487,2016-01-01,0.90410733,25.456694,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.77769689403445]}"
"-27002,7965_0",39.19227178633604,0.6030672466854128,0.0,-121.27930072065585_35.777651978030796,263,2016-01-01,0.90410733,26.024818,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.77769689403445]}"
"-27001,7965_0",76.13475261736974,0.8144951793823542,0.0,-121.27480914445734_35.77765197804097,179,2016-01-01,0.90410733,38.32354,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27485406010992,35.77769689403445]}"
"-27000,7965_0",44.9791377140291,0.8075696677763187,0.0,-121.27031756787348_35.7776519780396,262,2016-01-01,0.90410733,13.582672,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27027265216091,35.77769689403445]}"
"-27011,7966_0",80.51853069820997,0.7093368860794347,0.0,-121.3197249085062_35.782143554486716,451,2016-01-01,0.9032785,24.699547,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.78200880739823]}"
"-27010,7966_0",28.757649970950933,0.31403870375758225,0.0,-121.3152333321232_35.782143554480626,512,2016-01-01,0.9032785,21.668034,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.78200880739823]}"
"-27009,7966_0",28.479770937585556,0.518195283883676,0.0,-121.31074175576344_35.78214355448615,475,2016-01-01,0.9032785,21.177294,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.78200880739823]}"
"-27008,7966_0",42.077235117609376,0.6232958025439376,0.0,-121.30625017928956_35.78214355447511,585,2016-01-01,0.9032785,29.434948,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.78200880739823]}"
"-27007,7966_0",21.243287144604636,0.3319688154631509,0.0,-121.30175860288769_35.78214355447567,698,2016-01-01,0.9032785,28.837862,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.78200880739823]}"
"-27006,7966_0",73.56318593889327,0.5015063637971583,0.0,-121.29726702636297_35.78214355446824,719,2016-01-01,0.90410733,14.317878,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.78200880739823]}"
"-27005,7966_0",37.81684411152737,0.473555108104084,0.0,-121.29277545012069_35.78214355446138,681,2016-01-01,0.90410733,24.24864,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.78200880739823]}"
"-27004,7966_0",41.59437156728441,0.6097201303484939,0.0,-121.28828387353317_35.78214355448322,540,2016-01-01,0.90410733,22.541395,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.78200880739823]}"
"-27003,7966_0",24.3409712769203,0.43915362042507516,0.0,-121.28379229724163_35.782143554494596,385,2016-01-01,0.90410733,28.626307,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.78200880739823]}"
"-27002,7966_0",29.88263982974847,0.7648957313232184,0.0,-121.27930072069626_35.78214355446736,288,2016-01-01,0.90410733,22.825745,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.78200880739823]}"
"-27001,7966_0",21.246559510265705,0.7133133887434419,0.0,-121.27480914441601_35.782143554457804,150,2016-01-01,0.90410733,25.673367,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27485406010992,35.78200880739823]}"
"-27000,7966_0",47.77468064345254,0.6491220252450559,0.0,-121.27031756789162_35.78214355447446,225,2016-01-01,0.90410733,16.10529,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27027265216091,35.78200880739823]}"
"-26999,7966_0",54.01675623089213,0.7435558471619652,0.0,-121.26582599153062_35.78214355447815,288,2016-01-01,0.90410733,26.284836,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26596073879713,35.78200880739823]}"
"-27012,7967_0",60.087273587346175,0.48969160791935185,0.0,-121.32421648497392_35.78663513079174,286,2016-01-01,0.9032785,27.273306,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32417156920808,35.78659021534723]}"
"-27011,7967_0",50.43498074606271,0.6526814140845855,0.0,-121.31972490853292_35.7866351307988,368,2016-01-01,0.9032785,24.479597,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.78659021534723]}"
"-27010,7967_0",68.77963647796051,0.5757659554189718,0.0,-121.31523333213153_35.786635130781846,473,2016-01-01,0.9032785,11.952482,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.78659021534723]}"
"-27009,7967_0",86.1054676432861,0.38783707405022355,0.0,-121.31074175575331_35.786635130777526,677,2016-01-01,0.9032785,27.323015,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.78659021534723]}"
"-27008,7967_0",36.91573774333224,0.2899287019939523,0.0,-121.30625017927778_35.78663513080296,711,2016-01-01,0.9032785,17.89893,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.78659021534723]}"
"-27007,7967_0",29.193160416422973,0.35654374678812156,0.0,-121.30175860288723_35.78663513081048,729,2016-01-01,0.9032785,20.391958,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.78659021534723]}"
"-27006,7967_0",34.26494257483865,0.5221768393738951,0.0,-121.29726702640359_35.786635130791495,587,2016-01-01,0.90410733,9.447702,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.78659021534723]}"
"-27005,7967_0",45.893153711389566,0.41358770873652145,0.0,-121.29277545010387_35.78663513078268,539,2016-01-01,0.90410733,19.772594,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.78659021534723]}"
"-27004,7967_0",27.86619405377012,0.7290155869137575,0.0,-121.28828387353147_35.78663513077303,462,2016-01-01,0.90410733,15.19256,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.78659021534723]}"
"-27003,7967_0",58.43749425578098,0.7975411064936515,0.0,-121.28379229721227_35.7866351307821,397,2016-01-01,0.90410733,28.837862,2015-01-01,294.32412489799606,285.18154673119113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.78659021534723]}"
