system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",33.711059972540745,0.5706265747109327,0.0,-121.30625017927257_35.7596856723643,19,2023-01-01,1.2408582,5.072216,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",44.905037910749066,0.5625767548861493,0.0,-121.30175860291075_35.75968567232881,125,2023-01-01,1.2408582,15.964599,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",86.51943226495025,0.46272154258907167,0.0,-121.3107417556869_35.76417724872933,181,2023-01-01,1.2408582,37.341053,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",122.65481767279138,0.5108605130529278,0.0,-121.3062501792855_35.76417724870201,270,2023-01-01,1.2408582,14.132218,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",25.18234545577168,0.650709985001221,0.0,-121.30175860290586_35.76417724873219,275,2023-01-01,1.2408582,31.593945,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",52.23554341575525,0.4366389129684245,0.0,-121.29726702636071_35.76417724872694,315,2023-01-01,1.2650769,28.491955,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",40.85586676441573,0.31075965481783946,0.0,-121.31074175570203_35.76866882519699,356,2023-01-01,1.2408582,20.700367,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",40.36065017213307,0.33520938463473254,0.0,-121.30625017931094_35.76866882519759,392,2023-01-01,1.2408582,7.058828,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",43.60716226759789,0.31349330006182874,0.0,-121.30175860287288_35.76866882517237,471,2023-01-01,1.2408582,14.3175,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",39.98032310830203,0.30018079456940244,0.0,-121.29726702638074_35.76866882518616,475,2023-01-01,1.2650769,43.22908,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27004,7963_0",26.47080922045196,0.3334950667501082,0.0,-121.28828387359552_35.76866882519612,359,2023-01-01,1.2650769,14.759226,2022-01-01,294.13682292781465,284.9233458636558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
