system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",51.28750421853818,0.4962236245272456,0.0,-121.30625017927257_35.7596856723643,19,2010-01-01,1.524128,5.072216,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",50.664290169826884,0.5268700537480354,0.0,-121.30175860291075_35.75968567232881,125,2010-01-01,1.524128,15.964599,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",72.89152973146474,0.47781299980923875,0.0,-121.3107417556869_35.76417724872933,181,2010-01-01,1.524128,37.341053,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",118.41460235242711,0.500601830072835,0.0,-121.3062501792855_35.76417724870201,270,2010-01-01,1.524128,14.132218,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",26.64429294998454,0.6039103702295313,0.0,-121.30175860290586_35.76417724873219,275,2010-01-01,1.524128,31.593945,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",53.83580601793628,0.41544149635319577,0.0,-121.29726702636071_35.76417724872694,315,2010-01-01,1.5571109,28.491955,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",44.111148186804286,0.32837496240441527,0.0,-121.31074175570203_35.76866882519699,356,2010-01-01,1.524128,20.700367,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",38.774439681766005,0.336692870726115,0.0,-121.30625017931094_35.76866882519759,392,2010-01-01,1.524128,7.058828,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",46.2346703799748,0.302889006737721,0.0,-121.30175860287288_35.76866882517237,471,2010-01-01,1.524128,14.3175,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",45.94857103842086,0.30390071320675255,0.0,-121.29726702638074_35.76866882518616,475,2010-01-01,1.5571109,43.22908,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27004,7963_0",27.876325604843192,0.3091642966912421,0.0,-121.28828387359552_35.76866882519612,359,2010-01-01,1.5571109,14.759226,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
"-27010,7964_0",102.34021116113153,0.6218806067397181,0.0,-121.31523333215381_35.773160401542,226,2010-01-01,1.524128,23.358011,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.773115486085445]}"
"-27009,7964_0",35.73875815138559,0.26501170317460415,0.0,-121.31074175573129_35.77316040152193,432,2010-01-01,1.524128,29.630781,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.773115486085445]}"
"-27008,7964_0",46.964804990459385,0.3153421538723635,0.0,-121.30625017929316_35.77316040151378,462,2010-01-01,1.524128,28.722855,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.773115486085445]}"
"-27007,7964_0",96.00546127880997,0.36657730394941823,0.0,-121.30175860286754_35.77316040155423,569,2010-01-01,1.524128,27.799515,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.773115486085445]}"
"-27006,7964_0",35.575169869043755,0.269679797748466,0.0,-121.29726702638781_35.773160401539336,671,2010-01-01,1.5571109,16.264437,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.773115486085445]}"
"-27004,7964_0",18.670122218660207,0.7749109019217091,0.0,-121.28828387364416_35.7731604015404,363,2010-01-01,1.5571109,14.601171,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.773115486085445]}"
"-27003,7964_0",37.59837091294605,0.49069372284915164,0.0,-121.28379229722286_35.77316040154533,275,2010-01-01,1.5571109,35.068447,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.773115486085445]}"
"-27002,7964_0",46.56257858166064,0.37467704456579876,0.0,-121.27930072064623_35.773160401540125,157,2010-01-01,1.5571109,44.945137,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.773115486085445]}"
"-27011,7965_0",70.2736669301484,0.43336451102552986,0.0,-121.31972490850984_35.77765197801826,333,2010-01-01,1.524128,27.368505,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.77769689403445]}"
"-27010,7965_0",68.55597773225814,0.36175245019471575,0.0,-121.31523333213066_35.77765197803162,412,2010-01-01,1.524128,15.607853,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.77769689403445]}"
"-27009,7965_0",55.29733906763256,0.5982215638054108,0.0,-121.31074175577464_35.777651978038385,430,2010-01-01,1.524128,27.405512,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.77769689403445]}"
"-27008,7965_0",30.11815707475154,0.3021627601532358,0.0,-121.30625017926188_35.777651978038584,581,2010-01-01,1.524128,11.476741,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.77769689403445]}"
"-27007,7965_0",42.581140118872824,0.3003223389199403,0.0,-121.3017586028768_35.777651978012635,666,2010-01-01,1.524128,23.528193,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.77769689403445]}"
"-27006,7965_0",38.84482903013699,0.30207817317734525,0.0,-121.29726702638187_35.777651978025325,745,2010-01-01,1.5571109,15.079521,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.77769689403445]}"
"-27004,7965_0",19.25728614268225,0.30860126119421105,0.0,-121.28828387359493_35.777651978015,579,2010-01-01,1.5571109,25.902107,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.77769689403445]}"
"-27003,7965_0",22.992763935878656,0.379385122052086,0.0,-121.28379229723089_35.77765197803722,487,2010-01-01,1.5571109,25.456694,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.77769689403445]}"
"-27002,7965_0",40.71984690448743,0.5940694918796864,0.0,-121.27930072065585_35.777651978030796,263,2010-01-01,1.5571109,26.024818,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.77769689403445]}"
"-27001,7965_0",78.64864946173984,0.7314639913905722,0.0,-121.27480914445734_35.77765197804097,179,2010-01-01,1.5571109,38.32354,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27485406010992,35.77769689403445]}"
"-27000,7965_0",42.75938166441231,0.7919642835892988,0.0,-121.27031756787348_35.7776519780396,262,2010-01-01,1.5571109,13.582672,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27027265216091,35.77769689403445]}"
"-27011,7966_0",77.9540405326429,0.7082827507900314,0.0,-121.3197249085062_35.782143554486716,451,2010-01-01,1.524128,24.699547,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31959016125907,35.78200880739823]}"
"-27010,7966_0",25.490744220515023,0.3605741958940996,0.0,-121.3152333321232_35.782143554480626,512,2010-01-01,1.524128,21.668034,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.78200880739823]}"
"-27009,7966_0",24.29941171161631,0.5129289778956638,0.0,-121.31074175576344_35.78214355448615,475,2010-01-01,1.524128,21.177294,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.78200880739823]}"
"-27008,7966_0",37.60940349238135,0.6160875495854446,0.0,-121.30625017928956_35.78214355447511,585,2010-01-01,1.524128,29.434948,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.78200880739823]}"
"-27007,7966_0",19.731549340041934,0.3169050243787247,0.0,-121.30175860288769_35.78214355447567,698,2010-01-01,1.524128,28.837862,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.78200880739823]}"
"-27006,7966_0",58.260323999535565,0.5135357296929894,0.0,-121.29726702636297_35.78214355446824,719,2010-01-01,1.5571109,14.317878,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.78200880739823]}"
"-27005,7966_0",30.07482310819425,0.45030623712476586,0.0,-121.29277545012069_35.78214355446138,681,2010-01-01,1.5571109,24.24864,2009-01-01,293.4590083710135,284.299462890625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.78200880739823]}"
