"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass"
"70","BS084",2018,"Tanoak",1,2.172616656381,432,36,"sober","1","1",10.1698905203025,10.1698905203025
"71","BS084",2018,"Redwood",47,164733.288385964,432,36,"sober","1","1",10.1698905203025,10.1698905203025
"72","BS084",2022,"Tanoak",17,718.424094975893,432,36,"sober","1","1",1.43100637389599,2.70765240008464
"73","BS084",2022,"Redwood",33,172930.504454617,432,36,"sober","1","1",1.43100637389599,2.70765240008464
"74","BS085",2011,"Tanoak",68,2731.63686342725,505,30,"sober","1","0",47.8644330873768,47.8644330873768
"75","BS085",2011,"Bay laurel",13,25059.8520873188,505,30,"sober","1","0",47.8644330873768,47.8644330873768
"76","BS085",2014,"Tanoak",102,3984.40226716913,505,30,"sober","1","0",57.0184548405464,57.0184548405464
"77","BS085",2014,"Bay laurel",17,28978.0588737217,505,30,"sober","1","0",57.0184548405464,57.0184548405464
"78","BS085",2019,"Tanoak",42,234.436455694884,505,30,"sober","1","1",3.65288167455132,5.43738096411949
"79","BS085",2019,"Bay laurel",59,712.609870610569,505,30,"sober","1","1",3.65288167455132,5.43738096411949
"80","BS085",2022,"Tanoak",49,2431.5082157928,505,30,"sober","1","1",5.08811258828167,6.87261187784984
"81","BS085",2022,"Bay laurel",40,2252.23292559538,505,30,"sober","1","1",5.08811258828167,6.87261187784984
"82","BS086",2018,"Tanoak",2,7.1121013026803,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"83","BS086",2018,"Tanoak",2,7.1121013026803,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"84","BS086",2018,"Redwood",38,6899.83157169384,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"85","BS086",2018,"Redwood",38,6899.83157169384,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"86","BS086",2018,"Bay laurel",7,50.9256518590954,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"87","BS086",2018,"Bay laurel",7,50.9256518590954,578,28,"sober","1","1",3.28281304994149,3.28281304994149
"88","BS086",2023,"Tanoak",12,386.247039890433,578,28,"sober","1","1",4.29095093780433,4.29095093780433
"89","BS086",2023,"Redwood",26,10475.0885798782,578,28,"sober","1","1",4.29095093780433,4.29095093780433
"90","BS086",2023,"Bay laurel",6,565.64808756973,578,28,"sober","1","1",4.29095093780433,4.29095093780433
"91","BS094",2009,"Tanoak",1,4.9394846462993,771,27,"sober","1","0",5.16773849501796,6.19049387111521
"92","BS098",2018,"Redwood",31,558921.649893274,478,39,"sober","1","1",1.1176861613468,17.3155911688418
"93","BS098",2023,"Tanoak",16,399.620231662802,478,39,"sober","1","1",30.6124487737935,46.8103537812885
"94","BS098",2023,"Redwood",42,553741.171199094,478,39,"sober","1","1",30.6124487737935,46.8103537812885
"95","BS122",2019,"Tanoak",110,1016.92967185051,742,29,"sober","1","1",1.9349864846222,5.88379344715246
"96","BS122",2019,"Tanoak",110,1016.92967185051,742,29,"sober","1","1",1.9349864846222,5.88379344715246
"97","BS122",2019,"Bay laurel",40,510.772793438441,742,29,"sober","1","1",1.9349864846222,5.88379344715246
"98","BS122",2019,"Bay laurel",40,510.772793438441,742,29,"sober","1","1",1.9349864846222,5.88379344715246
"99","BS126",2011,"Bay laurel",2,1678.39672991387,297,30,"control","1","0",0.87696928526443,0.87696928526443
"100","BS126",2014,"Bay laurel",2,2241.68721963446,297,30,"control","1","0",0.87696928526443,0.87696928526443
"101","BS131",2009,"Tanoak",3,13.1376162208655,223,25,"control","0","0",4.77731165534622,4.77731165534622
"102","BS131",2009,"Redwood",1,19.2336179399344,223,25,"control","0","0",4.77731165534622,4.77731165534622
"103","BS131",2010,"Tanoak",30,187914.367348123,223,25,"control","0","0",4.77731165534622,4.77731165534622
"104","BS131",2010,"Redwood",61,239615.525525949,223,25,"control","0","0",4.77731165534622,4.77731165534622
"105","BS131",2013,"Tanoak",33,195721.069726402,223,25,"control","1","0",4.77731165534622,4.77731165534622
"106","BS131",2013,"Redwood",59,244335.597828253,223,25,"control","1","0",4.77731165534622,4.77731165534622
"107","BS131",2018,"Tanoak",24,201561.341068863,223,25,"control","1","0",4.77731165534622,4.77731165534622
"108","BS131",2018,"Redwood",55,255847.071679856,223,25,"control","1","0",4.77731165534622,4.77731165534622
"109","BS132",2019,"Bay laurel",257,11658.8377689051,538,30,"sober_chalk","1","1",23.9168937615048,28.8836337007718
"110","BS132",2019,"Bay laurel",257,11658.8377689051,538,30,"sober_chalk","1","1",23.9168937615048,28.8836337007718
"111","BS132",2022,"Bay laurel",176,24085.9016844816,538,30,"sober_chalk","1","1",22.4027104503463,26.0538851422814
"112","BS132",2022,"Bay laurel",176,24085.9016844816,538,30,"sober_chalk","1","1",22.4027104503463,26.0538851422814
"113","BS132",2022,"Bay laurel",176,24085.9016844816,538,30,"sober_chalk","1","1",22.4027104503463,26.0538851422814
