system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",50.59245255800746,0.5099544013111422,0.0,-121.30625017927257_35.7596856723643,19,2014-01-01,0.5699205,5.072216,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",42.53483272853956,0.562169092949165,0.0,-121.30175860291075_35.75968567232881,125,2014-01-01,0.5699205,15.964599,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",91.20428127247936,0.4442346280181341,0.0,-121.3107417556869_35.76417724872933,181,2014-01-01,0.5699205,37.341053,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",125.66168374557652,0.5098713495664798,0.0,-121.3062501792855_35.76417724870201,270,2014-01-01,0.5699205,14.132218,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",25.595787737257737,0.6117960291931743,0.0,-121.30175860290586_35.76417724873219,275,2014-01-01,0.5699205,31.593945,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",58.80410600633751,0.3909297320393965,0.0,-121.29726702636071_35.76417724872694,315,2014-01-01,0.5947585,28.491955,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27009,7963_0",51.75442083580753,0.28739088089250453,0.0,-121.31074175570203_35.76866882519699,356,2014-01-01,0.5699205,20.700367,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",35.950207585507926,0.3079343245170389,0.0,-121.30625017931094_35.76866882519759,392,2014-01-01,0.5699205,7.058828,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",51.47154163167909,0.24309701255681873,0.0,-121.30175860287288_35.76866882517237,471,2014-01-01,0.5699205,14.3175,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",43.39354742108224,0.2667704122038524,0.0,-121.29726702638074_35.76866882518616,475,2014-01-01,0.5947585,43.22908,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27004,7963_0",29.687187282621807,0.2807869386301673,0.0,-121.28828387359552_35.76866882519612,359,2014-01-01,0.5947585,14.759226,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.76853407813643]}"
"-27010,7964_0",112.11745925969463,0.6076766159151538,0.0,-121.31523333215381_35.773160401542,226,2014-01-01,0.5699205,23.358011,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3152782478953,35.773115486085445]}"
"-27009,7964_0",38.18286530383916,0.22665451729244213,0.0,-121.31074175573129_35.77316040152193,432,2014-01-01,0.5699205,29.630781,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.773115486085445]}"
"-27008,7964_0",55.78435447736334,0.2898701094585953,0.0,-121.30625017929316_35.77316040151378,462,2014-01-01,0.5699205,28.722855,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.773115486085445]}"
"-27007,7964_0",162.06389985301075,0.29017301130755446,0.0,-121.30175860286754_35.77316040155423,569,2014-01-01,0.5699205,27.799515,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.773115486085445]}"
"-27006,7964_0",46.72686471941899,0.23097644331449307,0.0,-121.29726702638781_35.773160401539336,671,2014-01-01,0.5947585,16.264437,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.773115486085445]}"
"-27004,7964_0",19.81339986072877,0.7885663430720197,0.0,-121.28828387364416_35.7731604015404,363,2014-01-01,0.5947585,14.601171,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2883287893717,35.773115486085445]}"
"-27003,7964_0",42.92729175195575,0.4705165645637171,0.0,-121.28379229722286_35.77316040154533,275,2014-01-01,0.5947585,35.068447,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2837473814227,35.773115486085445]}"
"-27002,7964_0",49.58767107889144,0.35016329272129565,0.0,-121.27930072064623_35.773160401540125,157,2014-01-01,0.5947585,44.945137,2013-01-01,294.0912220994087,284.3047013374224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27943546805892,35.773115486085445]}"
