system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_00000000000000000048_0,39.619225931334974,34.0,0.37932290911599137,BS130,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000049_0,39.619225931334974,34.0,0.37932290911599137,BS131,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004a_0,39.619225931334974,34.0,0.37932290911599137,BS132,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004b_0,39.619225931334974,34.0,0.37932290911599137,BS133,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004c_0,39.619225931334974,34.0,0.37932290911599137,BS134,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004d_0,39.619225931334974,34.0,0.37932290911599137,BS135,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004e_0,39.619225931334974,34.0,0.37932290911599137,BS137,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004f_0,39.619225931334974,34.0,0.37932290911599137,BS138,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000050_0,39.619225931334974,34.0,0.37932290911599137,BS139,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000051_0,39.619225931334974,34.0,0.37932290911599137,BS140,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000052_0,39.619225931334974,34.0,0.37932290911599137,BS141,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000053_0,39.619225931334974,34.0,0.37932290911599137,BS144,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000054_0,39.619225931334974,34.0,0.37932290911599137,BS146,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000055_0,39.619225931334974,34.0,0.37932290911599137,BS147,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000056_0,39.619225931334974,34.0,0.37932290911599137,BS148,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000057_0,39.619225931334974,34.0,0.37932290911599137,BS149,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000058_0,39.619225931334974,34.0,0.37932290911599137,BS150,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000059_0,39.619225931334974,34.0,0.37932290911599137,BS151,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005a_0,39.619225931334974,34.0,0.37932290911599137,BS152,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005b_0,39.619225931334974,34.0,0.37932290911599137,BS156,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005c_0,39.619225931334974,34.0,0.37932290911599137,BS157,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005d_0,39.619225931334974,34.0,0.37932290911599137,BS158,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005e_0,39.619225931334974,34.0,0.37932290911599137,BS159,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005f_0,39.619225931334974,34.0,0.37932290911599137,BS160,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000060_0,39.619225931334974,34.0,0.37932290911599137,BS161,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
