system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_0000000000000000002c_0,46.155477203159705,34.0,0.372704629292794,BS079,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000002d_0,46.155477203159705,34.0,0.372704629292794,BS080,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000002e_0,46.155477203159705,34.0,0.372704629292794,BS081,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000002f_0,46.155477203159705,34.0,0.372704629292794,BS083,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000030_0,46.155477203159705,34.0,0.372704629292794,BS084,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000031_0,46.155477203159705,34.0,0.372704629292794,BS085,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000032_0,46.155477203159705,34.0,0.372704629292794,BS086,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000033_0,46.155477203159705,34.0,0.372704629292794,BS087,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000034_0,46.155477203159705,34.0,0.372704629292794,BS088,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000035_0,46.155477203159705,34.0,0.372704629292794,BS089,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000036_0,46.155477203159705,34.0,0.372704629292794,BS090,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000037_0,46.155477203159705,34.0,0.372704629292794,BS092,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000038_0,46.155477203159705,34.0,0.372704629292794,BS094,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000039_0,46.155477203159705,34.0,0.372704629292794,BS098,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003a_0,46.155477203159705,34.0,0.372704629292794,BS102,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003b_0,46.155477203159705,34.0,0.372704629292794,BS103,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003c_0,46.155477203159705,34.0,0.372704629292794,BS111,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003d_0,46.155477203159705,34.0,0.372704629292794,BS112,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003e_0,46.155477203159705,34.0,0.372704629292794,BS118,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000003f_0,46.155477203159705,34.0,0.372704629292794,BS119,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000040_0,46.155477203159705,34.0,0.372704629292794,BS121,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000041_0,46.155477203159705,34.0,0.372704629292794,BS122,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000042_0,46.155477203159705,34.0,0.372704629292794,BS123,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000043_0,46.155477203159705,34.0,0.372704629292794,BS124,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000044_0,46.155477203159705,34.0,0.372704629292794,BS125,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000045_0,46.155477203159705,34.0,0.372704629292794,BS126,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000046_0,46.155477203159705,34.0,0.372704629292794,BS128,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000047_0,46.155477203159705,34.0,0.372704629292794,BS129,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000048_0,46.155477203159705,34.0,0.372704629292794,BS130,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000049_0,46.155477203159705,34.0,0.372704629292794,BS131,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004a_0,46.155477203159705,34.0,0.372704629292794,BS132,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004b_0,46.155477203159705,34.0,0.372704629292794,BS133,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004c_0,46.155477203159705,34.0,0.372704629292794,BS134,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004d_0,46.155477203159705,34.0,0.372704629292794,BS135,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004e_0,46.155477203159705,34.0,0.372704629292794,BS137,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000004f_0,46.155477203159705,34.0,0.372704629292794,BS138,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000050_0,46.155477203159705,34.0,0.372704629292794,BS139,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000051_0,46.155477203159705,34.0,0.372704629292794,BS140,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000052_0,46.155477203159705,34.0,0.372704629292794,BS141,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000053_0,46.155477203159705,34.0,0.372704629292794,BS144,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000054_0,46.155477203159705,34.0,0.372704629292794,BS146,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000055_0,46.155477203159705,34.0,0.372704629292794,BS147,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000056_0,46.155477203159705,34.0,0.372704629292794,BS148,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000057_0,46.155477203159705,34.0,0.372704629292794,BS149,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000058_0,46.155477203159705,34.0,0.372704629292794,BS150,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000059_0,46.155477203159705,34.0,0.372704629292794,BS151,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005a_0,46.155477203159705,34.0,0.372704629292794,BS152,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005b_0,46.155477203159705,34.0,0.372704629292794,BS156,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005c_0,46.155477203159705,34.0,0.372704629292794,BS157,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000005d_0,46.155477203159705,34.0,0.372704629292794,BS158,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
