"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"217",130,"BS141",2011,0,1,"Tanoak",2,0.020004114562392,2011,0,0.020004114562392,0
"218",131,"BS141",2011,0,1,"Tanoak",2,0.0105143798532464,2011,0,0.0105143798532464,0
"219",132,"BS141",2011,0,1,"Tanoak",4,0.0459156564542299,2011,0,0.0459156564542299,0
"220",133,"BS146",2009,0,1,"Tanoak",2,0.0889540431902492,2009,0,0.0889540431902492,0
"221",133,"BS146",2011,0,1,"Tanoak",2,0.0889540431902492,2009,2,0.0889540431902492,0
"222",134,"BS146",2011,0,1,"Tanoak",2,0.586685595975569,2011,0,0.586685595975569,0
"223",135,"BS146",2011,0,1,"Tanoak",2,0.0249710438815513,2011,0,0.0249710438815513,0
"224",136,"BS146",2011,0,1,"Tanoak",1,0.182800242563256,2011,0,0.182800242563256,0
"225",137,"BS147",2009,0,1,"Tanoak",4,0.0658841841309394,2009,0,0.0658841841309394,0
"226",139,"BS147",2009,0,1,"Redwood",3,0.669796324516021,2009,0,0.669796324516021,0
"227",140,"BS147",2009,0,1,"Redwood",3,0.343573185353343,2009,0,0.343573185353343,0
"228",141,"BS147",2009,0,1,"Redwood",3,0.308887566723986,2009,0,0.308887566723986,0
"229",142,"BS147",2009,0,1,"Redwood",3,0.638957539400109,2009,0,0.638957539400109,0
"230",143,"BS147",2009,0,1,"Redwood",3,0.526707542149495,2009,0,0.526707542149495,0
"231",138,"BS147",2009,0,1,"Tanoak",5,0.091817702847261,2009,0,0.091817702847261,0
"232",137,"BS147",2010,0,1,"Tanoak",5,0.0661327506782232,2010,0,0.0661327506782232,0
"233",139,"BS147",2010,0,1,"Redwood",3,0.669796324516021,2009,1,0.669796324516021,0
"234",140,"BS147",2010,0,1,"Redwood",3,0.343573185353343,2009,1,0.343573185353343,0
"235",141,"BS147",2010,0,1,"Redwood",3,0.308887566723986,2009,1,0.308887566723986,-1.11022302462516e-15
"236",142,"BS147",2010,0,1,"Redwood",3,0.638957539400109,2009,1,0.638957539400109,0
"237",143,"BS147",2010,0,1,"Redwood",3,0.526707542149495,2009,1,0.526707542149495,0
"238",138,"BS147",2010,0,1,"Tanoak",5,0.091817702847261,2009,1,0.091817702847261,0
"239",264,"BS194",2014,1,1,"Tanoak",3,0.243194650605717,2014,0,0.243194650605717,0
"240",265,"BS194",2014,1,1,"Tanoak",3,0.150268912656787,2014,0,0.150268912656787,0
