system:index,Plot,b0,b10,b30,.geo
00000000000000000043_0,BS124,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,BS125,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,BS126,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,BS128,6,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,BS129,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,BS130,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,BS131,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,BS132,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,BS133,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,BS134,6,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,BS135,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,BS137,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,BS138,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,BS139,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,BS140,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,BS141,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,BS144,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,BS146,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,BS147,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,BS148,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,BS149,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,BS150,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,BS151,6,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,BS152,6,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,BS156,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,BS157,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,BS158,7,6,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,BS159,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,BS160,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,BS161,9,9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,BS162,9,8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,BS163,9,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,BS165,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,BS166,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,BS167,9,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,BS168,8,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,BS172,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,BS175,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,BS176,8,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,BS177,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,BS186,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,BS187,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,BS188,6,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,BS190,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,BS193,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,BS194,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,BS195,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,BS196,4,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,BS201,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,BS202,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,BS203,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,BS204,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,BS205,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
