"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"87","BS027",2018,"SESE",12,721702.228380531,244,41,"control",1,0
"88","BS027",2022,"LIDE",11,222.320009324002,244,41,"control",1,0
"89","BS027",2022,"SESE",12,776574.255069103,244,41,"control",1,0
"90","BS027",2022,"UMCA",1,19.9896911223752,244,41,"control",1,0
"91","BS032",2007,"QUAG",4,64090.6751329046,296,21,"control",0,0
"92","BS032",2007,"UMCA",82,262590.330221616,296,21,"control",0,0
"93","BS032",2011,"QUAG",4,67451.7662170165,296,21,"control",0,0
"94","BS032",2011,"UMCA",85,284053.441694625,296,21,"control",0,0
"95","BS032",2014,"QUAG",4,69749.554736349,296,21,"control",0,0
"96","BS032",2014,"UMCA",84,284720.440095056,296,21,"control",0,0
"97","BS032",2019,"QUAG",5,71734.6153330092,296,21,"control",0,0
"98","BS032",2019,"UMCA",82,279429.276303888,296,21,"control",0,0
"99","BS032",2022,"PIPO",1,1.03721448302029,296,21,"control",0,0
"100","BS032",2022,"QUAG",5,75409.8401275738,296,21,"control",0,0
"101","BS032",2022,"UMCA",70,280854.883651549,296,21,"control",0,0
"102","BS034",2007,"QUAG",23,190220.23202148,637,24,"control",0,0
"103","BS034",2007,"UMCA",25,13931.435875026,637,24,"control",0,0
"104","BS035",2007,"QUAG",12,135339.021687856,372,17,"control",0,0
"105","BS035",2007,"UMCA",14,34977.9622621805,372,17,"control",0,0
"106","BS038",2007,"QUAG",1,74508.0308847043,553,33,"dolan",1,0
"107","BS038",2007,"SESE",31,448145.823283325,553,33,"dolan",1,0
"108","BS038",2007,"UMCA",186,8109.59576725935,553,33,"dolan",1,0
"109","BS038",2021,"SESE",3,437980.823988546,553,33,"dolan",1,1
"110","BS038",2021,"SESE",3,437980.823988546,553,33,"dolan",1,1
"111","BS038",2021,"UMCA",51,165.274546744612,553,33,"dolan",1,1
"112","BS038",2021,"UMCA",51,165.274546744612,553,33,"dolan",1,1
"113","BS044",2007,"QUAG",10,216979.24906394,700,35,"dolan_chalk",0,0
"114","BS044",2011,"QUAG",10,226120.147603019,700,35,"dolan_chalk",0,1
"115","BS044",2014,"QUAG",10,226280.494341955,700,35,"dolan_chalk",0,1
"116","BS044",2019,"QUAG",9,227938.514086588,700,35,"dolan_chalk",1,1
"117","BS044",2021,"QUAG",8,235282.331049438,700,35,"dolan_chalk",1,1
"118","BS045",2007,"LIDE",18,428599.444262249,478,39,"dolan_chalk",0,0
