Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS601,2013,ARME,4,3.245202379,0.315198458,1.022882786
BS027,2018,LIDE,1,2.21824751,0.581745587,1.2904557
BS027,2022,LIDE,1,1.366170182,0.581745587,0.794763474
BS052,2013,LIDE,1,1.359460752,0.581745587,0.790860293
BS052,2018,LIDE,1,1.891610577,0.581745587,1.100436105
BS058,2018,LIDE,1,1.719810234,0.581745587,1.000492014
BS066,2014,LIDE,1,1.368971334,0.581745587,0.796393032
BS066,2019,LIDE,1,2.669170229,0.581745587,1.552778002
BS066,2021,LIDE,1,2.208530682,0.581745587,1.284802978
BS081,2018,LIDE,1,1.147073036,0.581745587,0.667304677
BS081,2023,LIDE,1,1.050984479,0.581745587,0.611405583
BS084,2018,LIDE,1,0.874084028,0.581745587,0.508494526
BS085,2011,LIDE,1,0.965599093,0.581745587,0.561733011
BS085,2014,LIDE,1,0.275128118,0.581745587,0.160054569
BS094,2009,LIDE,1,0.191191242,0.581745587,0.111224661
BS098,2023,LIDE,1,2.515634559,0.581745587,1.463459303
BS134,2023,LIDE,1,0.1714642,0.581745587,0.099748542
BS140,2013,LIDE,1,0.130432605,0.581745587,0.075878592
BS140,2018,LIDE,1,0.130432605,0.581745587,0.075878592
BS141,2014,LIDE,1,1.549449794,0.581745587,0.90138558
BS146,2011,LIDE,1,0.314227124,0.581745587,0.182800243
BS146,2014,LIDE,1,0.825585888,0.581745587,0.480280947
BS147,2013,LIDE,1,0.646008152,0.581745587,0.375812392
BS148,2019,LIDE,1,0.082816466,0.581745587,0.048178114
BS148,2023,LIDE,1,0.082816466,0.581745587,0.048178114
BS158,2011,LIDE,1,0.213321995,0.581745587,0.124099129
BS159,2023,LIDE,1,4.344104393,0.581745587,2.52716356
BS160,2013,LIDE,1,1.033590934,0.581745587,0.601286965
BS160,2018,LIDE,1,0.747100892,0.581745587,0.434622647
