system:index,NDVI,Plot,albedo,.geo
0000000000000000003b_0,0.7676016,BS103,0.06437996,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0.70867807,BS111,0.0595067,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,0.6471077,BS112,0.061198693,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,0.78796804,BS118,0.06786692,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,0.67669725,BS119,0.06182326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,0.60676575,BS121,0.06806782,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,0.7714507,BS122,0.06800836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,0.63226134,BS123,0.06809137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,0.794899,BS124,0.051961053,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,0.8183306,BS125,0.049010538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,0.77002144,BS126,0.06645966,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,0.8036005,BS128,0.057045143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.776984,BS129,0.04872802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,0.7495834,BS130,0.07114133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,0.82202727,BS131,0.04643766,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,0.6515218,BS132,0.09503075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,0.73404753,BS133,0.08220862,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,0.78143275,BS134,0.055789296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,0.7523121,BS135,0.06451723,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,0.7897118,BS137,0.066491134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.7826835,BS138,0.058564935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,0.6902101,BS139,0.070370845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,0.80925024,BS140,0.057750262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,0.78424996,BS141,0.058362234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,0.7127456,BS144,0.070740476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,0.6614031,BS146,0.067052305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,0.76913726,BS147,0.0504684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,0.6880825,BS148,0.06405406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,0.5997878,BS149,0.061855253,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,0.6192012,BS150,0.076084025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,0.7865078,BS151,0.058100857,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,0.7760436,BS152,0.055354092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,0.74945426,BS156,0.07834733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,0.7652528,BS157,0.06410596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,0.70829266,BS158,0.077900164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,0.80065036,BS159,0.059776336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,0.7706344,BS160,0.07479448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,0.60446614,BS161,0.09917995,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,0.6672261,BS162,0.07751066,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,0.51290387,BS163,0.10336654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,0.80587274,BS165,0.061585076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,0.7901057,BS166,0.0454814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,0.7656251,BS167,0.0545388,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,0.77696097,BS168,0.051675983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,0.49841622,BS172,0.111209065,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,0.7135054,BS175,0.08518531,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,0.7633432,BS176,0.06922909,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,0.75577193,BS177,0.057850014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,0.7937851,BS186,0.05626738,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,0.75823486,BS187,0.071910046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,0.7987443,BS188,0.07385617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,0.75959456,BS190,0.06327346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,0.8089581,BS193,0.06368422,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,0.7806047,BS194,0.05994902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,0.5832131,BS195,0.07877493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,0.55911434,BS196,0.08627857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,0.51615274,BS201,0.100041956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,0.47044826,BS202,0.118934415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,0.7617067,BS203,0.07097574,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,0.68780047,BS204,0.07856086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,0.7793521,BS205,0.07153897,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,0.7652445,BS207,0.06298085,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,0.78465605,BS210,0.0812486,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,0.73593944,BS217,0.061846014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,0.73540294,BS218,0.070443206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,0.7856016,BS219,0.06048484,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,0.77012867,BS220,0.0546596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,0.77930826,BS221,0.06005853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,0.79454637,BS222,0.049223684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,0.73478997,BS223,0.053783614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,0.7858907,BS224,0.057735104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,0.8067447,BS226,0.054215405,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,0.7976891,BS228,0.050352346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,0.72966075,BS229,0.06031733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,0.68886214,BS230,0.08113734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,0.66649324,BS232,0.08238188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,0.6868568,BS233,0.06431831,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,0.6874342,BS234,0.0721756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,0.6581289,BS236,0.07409903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,0.7916381,BS239,0.065899186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,0.78975904,BS240,0.04279657,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,0.787339,BS241,0.05211375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,0.8125247,BS242,0.057492305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,0.79381174,BS243,0.048065595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,0.7225505,BS244,0.06730038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,0.73227036,BS245,0.054515064,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,0.6835631,BS246,0.07646723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,0.6802092,BS247,0.074829616,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,0.69908327,BS248,0.0787193,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,0.7834853,BS249,0.06410886,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,0.739697,BS251,0.07321544,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,0.7793243,BS253,0.07949766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,0.80826247,BS254,0.070029676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,0.71116775,BS257,0.06657076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,0.61265224,BS259,0.09050012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,0.81126165,BS260,0.058696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,0.7449095,BS262,0.07213544,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,0.78737855,BS265,0.070930384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,0.7976099,BS267,0.05887826,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,0.6549046,BS271,0.08908214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,0.7825598,BS272,0.07261411,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,0.76919484,BS273,0.08616282,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,0.49754193,BS274,0.10659376,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.8034191,BS276,0.054026093,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,0.71588224,BS277,0.06613056,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,0.51322967,BS278,0.104248844,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,0.6922041,BS279,0.056287758,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,0.7060256,BS281,0.08372884,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,0.4965933,BS282,0.08308107,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,0.79728806,BS283,0.070170164,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,0.6247573,BS287,0.06125595,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,0.69594353,BS292,0.060862526,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,0.804774,BS293,0.059254218,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,0.77948356,BS294,0.056027208,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,0.74152017,BS295,0.06645892,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,0.70792204,BS296,0.06874684,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,0.6529175,BS297,0.07327357,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,0.7173932,BS299,0.05386831,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,0.6932987,BS301,0.06527411,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,0.56298494,BS303,0.088638194,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,0.6347558,BS304,0.07402356,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,0.6173929,BS306,0.0833699,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,0.65552914,BS309,0.073005736,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,0.6455343,BS310,0.06974349,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,0.71265554,BS312,0.0938919,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,0.7532616,BS313,0.07947204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,0.7594663,BS315,0.054829374,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,0.7747136,BS316,0.06385272,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,0.8017722,BS317,0.064813435,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,0.77857625,BS320,0.07061093,"{""type"":""MultiPoint"",""coordinates"":[]}"
