"","Plot","Species","StemId","SampleYear","Status","DBH","Biomass"
"81","BS002","LIDE","5193-5",2006,"L",4,3.20318150271018
"82","BS002","LIDE","5193-2",2006,"L",3.6,2.47678046396937
"83","BS002","LIDE","5193-4",2006,"L",20.2,166.846001013902
"84","BS002","LIDE","5193-3",2006,"L",2,0.589884967014742
"85","BS002","UMCA","5194-1",2006,"L",3,1.55190162879332
"86","BS002","QUAG","5195-1",2006,"L",22.9,226.626933029392
"87","BS002","LIDE","5196-5",2006,"L",33.6,577.759752685591
"88","BS002","LIDE","5196-1",2006,"L",3.2,1.85790800590469
"89","BS002","LIDE","5196-6",2006,"L",3.2,1.85790800590469
"90","BS002","LIDE","5196-3",2006,"L",2.5,1.0170087049861
"91","BS002","LIDE","5196-4",2006,"L",2.8,1.3411145169556
"92","BS002","LIDE","5196-2",2006,"L",2.1,0.664492995750567
"93","BS002","LIDE","5197-1",2006,"L",10.3,32.2321128244788
"94","BS002","LIDE","5197-2",2006,"L",1.5,0.292275136779262
"95","BS002","LIDE","5198-2",2006,"L",6.4,10.0887747459791
"96","BS002","LIDE","5198-6",2006,"L",7.3,13.9099064960341
"97","BS002","LIDE","5198-5",2006,"L",2.7,1.22719070557491
"98","BS002","LIDE","5198-1",2006,"L",4.5,4.27016695296357
"99","BS002","LIDE","5198-3",2006,"L",4,3.20318150271018
"100","BS002","LIDE","5198-4",2006,"L",1.3,0.206105144454348
"101","BS002","LIDE","5199-2",2006,"L",8.9,22.5638973484735
"102","BS002","LIDE","5199-1",2006,"L",6.5,10.4779087666779
"103","BS002","LIDE","5199-4",2006,"L",1.5,0.292275136779262
"104","BS002","LIDE","5199-3",2006,"L",3,1.58710657871372
"105","BS002","QUAG","5200-1",2006,"L",1.1,0.137085857673919
"106","BS002","LIDE","5201-1",2006,"L",8.6,20.7521849132269
"107","BS002","LIDE","5201-4",2006,"L",3,1.58710657871372
"108","BS002","LIDE","5201-2",2006,"L",1.5,0.292275136779262
